id,name,description,price,rating,imageUrl,restaurantId,category,isAvailable,createdAt,updatedAt
1,Bún Chả Que Tre,"Thịt nướng trên que tre, ăn kèm bún, rau sống và nước mắm chua ngọt.",55000,4.8,https://media-cdn.tripadvisor.com/media/photo-m/1280/1b/72/06/62/bun-ch-que-tre.jpg,1,Món chính,1,6/6/2025 21:02,6/6/2025 21:02
2,Nem Cua Bể,Nem rán giòn rụm với nhân thịt cua bể tươi ngon.,65000,4.7,https://cdn.netspace.edu.vn/images/2020/03/26/cach-lam-nem-cua-be-thom-ngon-gion-rum-244958-800.jpg,1,Món ăn kèm,1,6/6/2025 21:02,6/6/2025 21:02
3,Bún Đậu Mắm Tôm,"Bún, đậu phụ rán, chả cốm, lòng dồi, ăn cùng mắm tôm.",85000,4.6,https://cdn.tgdd.vn/2021/12/CookRecipe/Avatar/bun-dau-mam-tom-thumbnail.jpg,1,Món chính,1,6/6/2025 21:02,6/6/2025 21:02
4,Trà Đá,Trà đá mát lạnh giải nhiệt.,5000,4.9,https://imgthumb-cdn.thethao247.vn/thumbamp/upload/thanhtung/2019/09/07/5-loi-ich-khong-ngo-khi-uong-tra-da-hang-ngay1567842271.jpg,1,Đồ uống,1,6/6/2025 21:02,6/6/2025 21:02
5,Chè Sen Long Nhãn,"Chè hạt sen nấu cùng long nhãn, ngọt thanh, mát bổ.",35000,4.7,https://www.huongnghiepaau.com/wp-content/uploads/2017/08/che-hat-sen-nho-kho.jpg,1,Tráng miệng,1,6/6/2025 21:02,6/6/2025 21:02
6,Phở Bò Tái Lăn,"Thịt bò được xào tái qua với tỏi, hành tây rồi chan nước dùng.",60000,4.9,https://cdnv2.tgdd.vn/mwg-static/common/Common/pho-tai-lan.jpg,2,Món chính,1,6/6/2025 21:02,6/6/2025 21:02
7,Phở Bò Chín,Phở với thịt bò được luộc chín mềm.,55000,4.7,https://adamquy.com/wp-content/uploads/2023/07/nau-pho-bo-tai-chin.jpg,2,Món chính,1,6/6/2025 21:02,6/6/2025 21:02
8,Quẩy Giòn,Quẩy nóng giòn ăn kèm phở.,10000,4.5,https://daylambanh.edu.vn/wp-content/uploads/2020/01/cach-lam-quay-nong-600x400.jpg,2,Món ăn kèm,1,6/6/2025 21:02,6/6/2025 21:02
9,Trứng Gà Trần,Trứng gà chần lòng đào béo ngậy.,7000,4.6,https://giadinh.mediacdn.vn/zoom/700_438/296230595582509056/2022/10/14/trung-tran1-1665733229277904419387-0-0-437-700-crop-1665733238233717081348.jpg,2,Món ăn kèm,1,6/6/2025 21:02,6/6/2025 21:02
10,Nước Sâm,"Nước sâm mát lạnh, giải nhiệt.",15000,4.8,https://static.gia-hanoi.com/uploads/2024/05/nau-nuoc-sam-bi-dao.jpg,2,Đồ uống,1,6/6/2025 21:02,6/6/2025 21:02
11,Pizza Hải Sản Pesto Xanh,"Pizza đế dày với tôm, mực, việp và sốt Pesto.",249000,4.7,https://www.huongnghiepaau.com/wp-content/uploads/2017/07/999cf916d676bcea9e5646256b3e0198.jpg,3,Pizza,1,6/6/2025 21:02,6/6/2025 21:02
12,Pizza Pepperoni,Pizza xúc xích cay Pepperoni kiểu Mỹ.,199000,4.6,https://www.perfectitaliano.com.au/content/dam/perfectitaliano-aus/recipe/pepperoni_pizza_standard.jpg,3,Pizza,1,6/6/2025 21:02,6/6/2025 21:02
13,Mỳ Ý Sốt Bò Bằm,Mỳ Ý spaghetti với sốt bò bằm cà chua truyền thống.,129000,4.8,https://fujifoods.vn/wp-content/themes/yootheme/cache/d6/sot-bo-bam-my-spaghetti-d69a3de1.png,3,Mỳ Ý,1,6/6/2025 21:02,6/6/2025 21:02
14,Salad Caesar,"Salad rau xanh với sốt Caesar, bánh mì nướng và phô mai Parmesan.",89000,4.5,https://file.hstatic.net/200000692767/file/caesar-salad__1_.jpg,3,Salad,1,6/6/2025 21:02,6/6/2025 21:02
15,Pepsi Lon,Nước ngọt có ga Pepsi mát lạnh.,25000,4.9,https://iwater.vn/Image/Picture/New/Pepsi-Vietnam.png,3,Đồ uống,1,6/6/2025 21:02,6/6/2025 21:02
16,Set Sushi Tổng Hợp,"Set sushi gồm cá hồi, cá ngừ, tôm và lươn Nhật.",299000,4.9,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNQ==/RkVC/MDA1MDk3MzI=.jpg,4,Sushi,1,6/6/2025 21:02,6/6/2025 21:02
17,Sashimi Cá Hồi,"Cá hồi tươi sống cắt lát, ăn kèm gừng hồng và wasabi.",189000,4.8,https://file.hstatic.net/200000692767/file/cach-lam-sashimi-ca-hoi__5_.jpg,4,Sashimi,1,6/6/2025 21:02,6/6/2025 21:02
18,Cơm Lươn Nhật (Unagi Don),Cơm trắng với lươn Nhật nướng sốt Kabayaki.,259000,4.7,https://www.justonecookbook.com/wp-content/uploads/2021/07/Unadon-Eel-Rice-9543-I-1.jpg,4,Món chính,1,6/6/2025 21:02,6/6/2025 21:02
